gene_id;SHSY5Y_b (SRR4098610);A431_a (SRR629557);U-251 MG_a (SRR629561);U-251 MG_b (SRR629562);U2OS_a (SRR629563);A-549_a (SRR629564);A-549_b (SRR629565);CACO-2_a (SRR629566);CACO-2_b (SRR629568);HEK 293_b (SRR629570);Hep-G2_a (SRR629573);MCF-7_a (SRR629577);MCF-7_b (SRR629578);PC3_a (SRR629581);gene_name;gene_chr;gene_start;gene_end;gene_strand;gene_length;gene_biotype;description
ENSG00000205916;0;6;4;0;0;0;0;0;0;0;0;0;0;0;DAZ4;NC_000024.10;24833806;24907040;+;73235;protein_coding;"deleted in azoospermia 4 [Source:HGNC Symbol;Acc:HGNC:15966]"
ENSG00000206585;1;2;1;1;1;0;0;0;0;2;0;1;1;0;RNVU1-7;NC_000001.11;148038753;148038916;-;164;snRNA;"RNA
ENSG00000206737;1;1;2;0;0;0;0;0;1;2;0;2;0;1;RNVU1-18;NC_000001.11;143729407;143729570;-;164;snRNA;"RNA
ENSG00000207607;0;4;0;0;0;0;0;4;2;0;0;0;0;0;MIR200A;NC_000001.11;1167863;1167952;+;90;miRNA;"microRNA 200a [Source:HGNC Symbol;Acc:HGNC:31578]"
ENSG00000214249;0;1;0;0;9;0;0;0;0;0;0;0;0;0;CTAGE11P;NC_000013.11;75237753;75240381;-;2629;transcribed_pseudogene;"CTAGE family member 11
ENSG00000221888;0;0;0;0;10;0;0;0;0;0;0;0;0;0;OR1C1;NC_000001.11;247757462;247758406;-;945;protein_coding;"olfactory receptor family 1 subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:8182]"
ENSG00000224655;0;0;0;0;0;0;0;0;4;3;0;0;0;3;LINC01823;NC_000002.12;121790444;121809946;+;19503;lncRNA;"long intergenic non-protein coding RNA 1823 [Source:HGNC Symbol;Acc:HGNC:52628]"
ENSG00000224965;0;0;0;0;0;0;0;0;7;0;0;0;0;3;KCNC4-AS1;NC_000001.11;110208450;110209987;-;1538;lncRNA;"KCNC4 divergent transcript [Source:HGNC Symbol;Acc:HGNC:39958]"
ENSG00000226317;0;10;0;0;0;0;0;0;0;0;0;0;0;0;LINC00351;NC_000013.11;85363603;85544662;+;181060;lncRNA;"long intergenic non-protein coding RNA 351 [Source:HGNC Symbol;Acc:HGNC:42669]"
ENSG00000229921;6;0;0;0;0;2;2;0;0;0;0;0;0;0;HGC6.3;NC_000006.12;167975924;167976939;-;1016;protein_coding;"KIF25 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:20953]"
ENSG00000231817;0;0;2;0;0;0;0;4;4;0;0;0;0;0;LINC01198;NC_000013.11;46455203;46466776;-;11574;lncRNA;"long intergenic non-protein coding RNA 1198 [Source:HGNC Symbol;Acc:HGNC:49598]"
ENSG00000233358;0;0;0;0;10;0;0;0;0;0;0;0;0;0;LOC105374974;NC_000006.12;23056737;23177072;-;120336;lncRNA;"novel transcript"
ENSG00000234362;4;0;0;0;0;6;0;0;0;0;0;0;0;0;LINC01914;NC_000002.12;41931599;41933723;-;2125;lncRNA;"long intergenic non-protein coding RNA 1914 [Source:HGNC Symbol;Acc:HGNC:52733]"
ENSG00000235568;4;6;0;0;0;0;0;0;0;0;0;0;0;0;NFAM1;NC_000022.11;42380407;42438155;-;57749;protein_coding;"NFAT activating protein with ITAM motif 1 [Source:HGNC Symbol;Acc:HGNC:29872]"
ENSG00000237928;0;0;10;0;0;0;0;0;0;0;0;0;0;0;NFIA-AS2;NC_000001.11;60940244;60970776;-;30533;lncRNA;"NFIA antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40401]"
ENSG00000245164;0;0;0;0;5;0;0;0;0;0;5;0;0;0;LINC00861;NC_000008.11;125922523;125951197;-;28675;lncRNA;"long intergenic non-protein coding RNA 861 [Source:HGNC Symbol;Acc:HGNC:45133]"
ENSG00000245651;7;0;0;0;0;0;0;0;0;3;0;0;0;0;LOC283387;NC_000012.12;57869835;57896482;-;26648;lncRNA;"novel transcript"
ENSG00000246223;0;0;0;0;10;0;0;0;0;0;0;0;0;0;LINC01550;NC_000014.9;97925610;97978124;-;52515;lncRNA;"long intergenic non-protein coding RNA 1550 [Source:HGNC Symbol;Acc:HGNC:20111]"
ENSG00000248538;4;0;0;0;0;0;0;0;6;0;0;0;0;0;LOC157273;NC_000008.11;NW_018654717.1;9325051;4016440;9335080;4026479;+;-;20070;lncRNA;"PPP1R3B divergent transcript [Source:HGNC Symbol;Acc:HGNC:56150]"
ENSG00000250075;0;0;7;3;0;0;0;0;0;0;0;0;0;0;LOC101927237;NC_000004.12;67417305;67422000;-;4696;lncRNA;"novel transcript"
ENSG00000250298;0;0;0;0;0;0;0;3;7;0;0;0;0;0;GIMD1;NC_000004.12;106357335;106368788;-;11454;protein_coding;"GIMAP family P-loop NTPase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:44141]"
ENSG00000251209;0;0;0;0;0;10;0;0;0;0;0;0;0;0;LINC00923;NC_000015.10;97742616;97874429;-;131814;lncRNA;"long intergenic non-protein coding RNA 923 [Source:HGNC Symbol;Acc:HGNC:28088]"
ENSG00000253130;0;0;0;0;0;3;5;0;0;0;0;2;0;0;LOC105379224;NC_000008.11;NW_018654717.1;8560857;4778041;8574081;4791268;+;-;26453;lncRNA;"novel transcript"
ENSG00000255382;3;0;7;0;0;0;0;0;0;0;0;0;0;0;LOC105369413;NC_000011.10;82781524;82817792;+;36269;lncRNA;"long intergenic non-protein coding RNA 2734 [Source:HGNC Symbol;Acc:HGNC:54251]"
ENSG00000257588;0;4;0;0;0;0;3;0;0;0;0;0;0;3;LOC101927318;NC_000012.12;49951512;49962924;-;11413;lncRNA;"AQP5 and AQP2 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:55474]"
ENSG00000258713;0;0;0;3;0;0;0;0;0;0;0;0;0;7;C20orf141;NC_000020.11;2814987;2815830;+;844;protein_coding;"chromosome 20 open reading frame 141 [Source:HGNC Symbol;Acc:HGNC:16134]"
ENSG00000258798;0;0;0;0;0;0;0;0;0;0;4;0;0;6;LOC105370625;NC_000014.9;91418193;91437690;+;19498;lncRNA;"CCDC88C divergent transcript [Source:HGNC Symbol;Acc:HGNC:55438]"
ENSG00000259478;0;10;0;0;0;0;0;0;0;0;0;0;0;0;LOC105371009;NC_000015.10;97988227;98017897;-;29671;lncRNA;"novel transcript"
ENSG00000263105;0;0;0;0;0;0;0;0;0;0;0;0;10;0;LOC105371062;NC_000016.10;4180117;4184168;-;4052;lncRNA;"novel transcript"
ENSG00000273540;10;0;0;0;0;0;0;0;0;0;0;0;0;0;AGBL1;NC_000015.10;86079639;87031476;+;951838;protein_coding;"AGBL carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:26504]"
ENSG00000279408;0;0;0;0;10;0;0;0;0;0;0;0;0;0;LOC105369274;NC_000015.10;NT_187602.1;21638579;403738;21652911;418005;+;+;28601;protein_coding;"olfactory receptor family 4 subfamily N member 4C [Source:HGNC Symbol;Acc:HGNC:55110]"
ENSG00000280953;0;0;0;0;10;0;0;0;0;0;0;0;0;0;LINC01163;NC_000010.11;128285950;128317726;+;31777;lncRNA;"long intergenic non-protein coding RNA 1163 [Source:HGNC Symbol;Acc:HGNC:49530]"
ENSG00000286389;5;0;0;0;0;2;0;0;3;0;0;0;0;0;LOC105373289;NC_000001.11;227788255;227790470;+;2216;protein_coding;"novel transcript"
ENSG00000287960;3;4;0;0;0;0;0;0;0;0;3;0;0;0;LOC105372268;NC_000019.10;9507811;9520840;-;13030;lncRNA;"novel transcript"
ENSG00000288051;0;0;0;0;0;0;0;0;4;6;0;0;0;0;LOC105375594;NC_000007.14;155414700;155418811;+;4112;lncRNA;"novel transcript"
ENSG00000293414;3;0;0;0;0;0;0;0;0;7;0;0;0;0;LINC01869;NC_000019.10;50817681;50818878;+;1198;lncRNA;"transmembrane protein 277
ENSG00000293459;0;3;0;0;0;0;0;2;0;1;2;0;2;0;MFSD13B;NC_000016.10;NW_017852933.1;22385769;697441;22407598;719270;+;-;43660;transcribed_pseudogene;"major facilitator superfamily domain containing 13B (pseudogene) [Source:NCBI gene (formerly Entrezgene);Acc:105371130]"
ENSG00000298631;0;0;0;0;0;0;0;6;4;0;0;0;0;0;LOC105372018;NC_000018.10;22242790;22267817;-;25028;lncRNA;"novel transcript"
ENSG00000298992;0;10;0;0;0;0;0;0;0;0;0;0;0;0;LOC389705;NC_000009.12;14993327;15019724;+;26398;transcribed_pseudogene;"novel transcript"
ENSG00000299329;3;0;5;0;0;0;0;0;0;0;0;0;2;0;PDE4DIPP1;NC_000001.11;148049302;148094777;+;45476;transcribed_pseudogene;"novel transcript"
ENSG00000302186;0;0;0;0;0;3;3;0;0;0;0;2;2;0;LOC107984979;NC_000017.11;43833416;43846505;+;13090;lncRNA;"novel transcript"
ENSG00000305490;0;4;3;0;0;0;0;0;3;0;0;0;0;0;LOC105375741;NC_000008.11;124728535;124758242;+;29708;lncRNA;"novel transcript"
ENSG00000018625;9;0;0;0;0;0;0;0;0;0;0;0;0;0;ATP1A2;NC_000001.11;160115730;160143591;+;27862;protein_coding;"ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]"
ENSG00000099985;0;0;0;0;0;0;0;6;0;0;3;0;0;0;OSM;NC_000022.11;30262828;30266843;-;4016;protein_coding;"oncostatin M [Source:HGNC Symbol;Acc:HGNC:8506]"
ENSG00000111218;6;0;0;0;0;0;0;0;0;3;0;0;0;0;PRMT8;NC_000012.12;3381349;3593973;+;212625;protein_coding;"protein arginine methyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:5188]"
ENSG00000123307;0;0;0;0;0;0;0;6;3;0;0;0;0;0;NEUROD4;NC_000012.12;55019945;55030017;+;10073;protein_coding;"neuronal differentiation 4 [Source:HGNC Symbol;Acc:HGNC:13802]"
ENSG00000125813;0;0;0;0;3;0;0;0;0;6;0;0;0;0;PAX1;NC_000020.11;21705659;21718486;+;12828;protein_coding;"paired box 1 [Source:HGNC Symbol;Acc:HGNC:8615]"
ENSG00000134200;0;3;6;0;0;0;0;0;0;0;0;0;0;0;TSHB;NC_000001.11;115029824;115035935;+;6112;protein_coding;"thyroid stimulating hormone subunit beta [Source:HGNC Symbol;Acc:HGNC:12372]"
ENSG00000135094;0;0;0;0;4;0;0;2;0;0;3;0;0;0;SDS;NC_000012.12;113392445;113403887;-;11443;protein_coding;"serine dehydratase [Source:HGNC Symbol;Acc:HGNC:10691]"
ENSG00000136110;0;0;0;0;0;3;0;0;0;0;6;0;0;0;CNMD;NC_000013.11;52703264;52739812;-;36549;protein_coding;"chondromodulin [Source:HGNC Symbol;Acc:HGNC:17005]"
ENSG00000147647;0;0;0;0;0;0;0;0;0;0;9;0;0;0;DPYS;NC_000008.11;104379424;104467074;-;87651;protein_coding;"dihydropyrimidinase [Source:HGNC Symbol;Acc:HGNC:3013]"
ENSG00000149654;0;0;0;0;0;0;0;0;0;0;0;0;0;9;CDH22;NC_000020.11;46173733;46308498;-;134766;protein_coding;"cadherin 22 [Source:HGNC Symbol;Acc:HGNC:13251]"
ENSG00000155714;1;0;0;0;0;2;0;0;0;4;0;2;0;0;PDZD9;NC_000016.10;NW_017852933.1;21957540;1103929;22001136;1121173;-;+;60842;protein_coding;"PDZ domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28740]"
ENSG00000156097;0;3;0;0;0;0;0;0;0;6;0;0;0;0;GPR61;NC_000001.11;109539872;109545833;+;5962;protein_coding;"G protein-coupled receptor 61 [Source:HGNC Symbol;Acc:HGNC:13300]"
ENSG00000163217;0;6;0;3;0;0;0;0;0;0;0;0;0;0;BMP10;NC_000002.12;68860916;68871517;-;10602;protein_coding;"bone morphogenetic protein 10 [Source:HGNC Symbol;Acc:HGNC:20869]"
ENSG00000164825;0;0;0;0;0;0;0;0;0;0;9;0;0;0;DEFB1;NC_000008.11;NW_018654717.1;6870575;265822;6878007;273239;-;-;14851;protein_coding;"defensin beta 1 [Source:HGNC Symbol;Acc:HGNC:2766]"
ENSG00000165059;0;0;0;0;0;0;0;0;6;0;0;0;3;0;PRKACG;NC_000009.12;69012529;69014123;-;1595;protein_coding;"protein kinase cAMP-activated catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9382]"
ENSG00000167208;0;9;0;0;0;0;0;0;0;0;0;0;0;0;SNX20;NC_000016.10;50666300;50681353;-;15054;protein_coding;"sorting nexin 20 [Source:HGNC Symbol;Acc:HGNC:30390]"
ENSG00000168757;0;3;6;0;0;0;0;0;0;0;0;0;0;0;TSPY2;NC_000024.10;6246223;6249020;+;2798;protein_coding;"testis specific protein Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:23924]"
ENSG00000169271;0;0;0;0;3;0;0;3;3;0;0;0;0;0;HSPB3;NC_000005.10;54455601;54456384;+;784;protein_coding;"heat shock protein family B (small) member 3 [Source:HGNC Symbol;Acc:HGNC:5248]"
ENSG00000170807;3;0;3;0;0;0;0;0;0;0;0;0;0;3;LMOD2;NC_000007.14;123655807;123664290;+;8484;protein_coding;"leiomodin 2 [Source:HGNC Symbol;Acc:HGNC:6648]"
ENSG00000171561;0;0;3;0;0;0;0;0;4;2;0;0;0;0;OR2AT4;NC_000011.10;75088692;75100854;-;12163;protein_coding;"olfactory receptor family 2 subfamily AT member 4 [Source:HGNC Symbol;Acc:HGNC:19620]"
ENSG00000172689;9;0;0;0;0;0;0;0;0;0;0;0;0;0;MS4A10;NC_000011.10;60785332;60801305;+;15974;protein_coding;"membrane spanning 4-domains A10 [Source:HGNC Symbol;Acc:HGNC:13368]"
ENSG00000173302;0;0;0;0;0;0;0;2;7;0;0;0;0;0;GPR148;NC_000002.12;130729070;130730336;+;1267;protein_coding;"G protein-coupled receptor 148 [Source:HGNC Symbol;Acc:HGNC:23623]"
ENSG00000173464;9;0;0;0;0;0;0;0;0;0;0;0;0;0;RNASE11;NC_000014.9;20582892;20590258;-;7367;protein_coding;"ribonuclease A family member 11 (inactive) [Source:HGNC Symbol;Acc:HGNC:19269]"
ENSG00000173597;7;0;0;0;2;0;0;0;0;0;0;0;0;0;SULT1B1;NC_000004.12;69726848;69760712;-;33865;protein_coding;"sulfotransferase family 1B member 1 [Source:HGNC Symbol;Acc:HGNC:17845]"
ENSG00000174015;0;0;0;0;0;0;0;0;0;0;0;3;6;0;SPERT;NC_000013.11;45701030;45714559;+;13530;protein_coding;"chibby family member 2 [Source:HGNC Symbol;Acc:HGNC:30720]"
ENSG00000174123;0;0;0;0;3;0;3;0;0;0;0;0;0;3;TLR10;NC_000004.12;38772238;38782990;-;10753;protein_coding;"toll like receptor 10 [Source:HGNC Symbol;Acc:HGNC:15634]"
ENSG00000174226;0;0;0;0;0;0;0;0;0;0;0;0;0;9;SNX31;NC_000008.11;100572882;100663410;-;90529;protein_coding;"sorting nexin 31 [Source:HGNC Symbol;Acc:HGNC:28605]"
ENSG00000174255;0;0;0;0;0;0;0;9;0;0;0;0;0;0;ZNF80;NC_000003.12;114234631;114237578;-;2948;protein_coding;"zinc finger protein 80 [Source:HGNC Symbol;Acc:HGNC:13155]"
ENSG00000174429;0;6;0;0;0;0;0;0;0;0;3;0;0;0;ABRA;NC_000008.11;106759483;106809073;-;49591;protein_coding;"actin binding Rho activating protein [Source:HGNC Symbol;Acc:HGNC:30655]"
ENSG00000182050;6;0;0;0;0;3;0;0;0;0;0;0;0;0;MGAT4C;NC_000012.12;NW_015148967.1;85972281;47536;86839006;70777;-;-;889968;protein_coding;"MGAT4 family member C [Source:HGNC Symbol;Acc:HGNC:30871]"
ENSG00000183304;0;9;0;0;0;0;0;0;0;0;0;0;0;0;FAM9A;NC_000023.11;8790795;8801383;-;10589;protein_coding;"family with sequence similarity 9 member A [Source:HGNC Symbol;Acc:HGNC:18403]"
ENSG00000183396;3;0;0;4;0;0;0;0;2;0;0;0;0;0;TMEM89;NC_000003.12;48620759;48621855;-;1097;protein_coding;"transmembrane protein 89 [Source:HGNC Symbol;Acc:HGNC:32372]"
ENSG00000184388;0;0;0;0;9;0;0;0;0;0;0;0;0;0;PABPC1L2B;NC_000023.11;73003513;73005712;+;2200;protein_coding;"poly(A) binding protein cytoplasmic 1 like 2B [Source:HGNC Symbol;Acc:HGNC:31852]"
ENSG00000184895;0;0;0;0;0;0;0;0;0;0;9;0;0;0;SRY;NC_000024.10;2786855;2787741;-;887;protein_coding;"sex determining region Y [Source:HGNC Symbol;Acc:HGNC:11311]"
ENSG00000188124;0;3;0;0;4;0;0;0;0;2;0;0;0;0;OR2AG2;NC_000011.10;6768007;6768957;-;951;protein_coding;"olfactory receptor family 2 subfamily AG member 2 [Source:HGNC Symbol;Acc:HGNC:15143]"
ENSG00000196071;0;0;0;0;2;0;0;0;0;0;0;0;0;7;OR2L13;NC_000001.11;247937029;248100922;+;163894;protein_coding;"olfactory receptor family 2 subfamily L member 13 [Source:HGNC Symbol;Acc:HGNC:19578]"
ENSG00000198326;0;0;0;0;3;0;3;0;0;0;0;3;0;0;TMEM239;NC_000020.11;2815871;2820284;+;4414;protein_coding;"transmembrane protein 239 [Source:HGNC Symbol;Acc:HGNC:40044]"
ENSG00000201654;1;2;2;0;0;0;0;0;1;1;0;0;0;2;RNU6-7;NC_000014.9;32202045;32202151;+;107;snRNA;"RNA
ENSG00000203972;0;0;9;0;0;0;0;0;0;0;0;0;0;0;GLYATL3;NC_000006.12;49499958;49528064;+;28107;protein_coding;"glycine-N-acyltransferase like 3 [Source:HGNC Symbol;Acc:HGNC:21349]"
ENSG00000204572;0;0;0;0;0;0;0;0;0;0;0;2;5;2;KRTAP5-10;NC_000011.10;71565563;71566620;+;1058;protein_coding;"keratin associated protein 5-10 [Source:HGNC Symbol;Acc:HGNC:23605]"
ENSG00000205126;9;0;0;0;0;0;0;0;0;0;0;0;0;0;ACCSL;NC_000011.10;44047981;44060667;+;12687;protein_coding;"1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like [Source:HGNC Symbol;Acc:HGNC:34391]"
ENSG00000205944;0;5;4;0;0;0;0;0;0;0;0;0;0;0;DAZ2;NC_000024.10;23219457;23291356;+;71900;protein_coding;"deleted in azoospermia 2 [Source:HGNC Symbol;Acc:HGNC:15964]"
ENSG00000214146;0;0;1;0;0;0;0;4;0;0;0;0;3;1;LINC02026;NC_000003.12;193957372;194003659;-;46288;lncRNA;"long intergenic non-protein coding RNA 2026 [Source:HGNC Symbol;Acc:HGNC:52861]"
ENSG00000215244;0;2;1;0;0;0;3;0;0;0;0;0;3;0;LOC399715;NC_000010.11;6326544;6335982;+;9439;lncRNA;"long intergenic non-protein coding RNA 2649 [Source:HGNC Symbol;Acc:HGNC:54134]"
ENSG00000220008;6;0;0;0;0;0;0;0;0;0;0;0;0;3;LINGO3;NC_000019.10;2289775;2308157;-;18383;protein_coding;"leucine rich repeat and Ig domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21206]"
ENSG00000224865;0;0;9;0;0;0;0;0;0;0;0;0;0;0;LOC101928782;NC_000007.14;131910220;131948953;+;38734;lncRNA;"novel transcript"
ENSG00000226194;0;9;0;0;0;0;0;0;0;0;0;0;0;0;LINC02519;NC_000006.12;169355735;169391611;-;35877;lncRNA;"long intergenic non-protein coding RNA 2519 [Source:HGNC Symbol;Acc:HGNC:53510]"
ENSG00000227260;0;0;0;0;4;0;0;0;5;0;0;0;0;0;LINC01985;NC_000003.12;30518868;30527193;+;8326;lncRNA;"long intergenic non-protein coding RNA 1985 [Source:HGNC Symbol;Acc:HGNC:52816]"
ENSG00000228824;0;0;0;0;0;6;3;0;0;0;0;0;0;0;MIR4500HG;NC_000013.11;87443987;87670963;-;226977;lncRNA;"MIR4500 host gene [Source:HGNC Symbol;Acc:HGNC:42773]"
ENSG00000230023;0;0;0;0;0;0;0;0;0;0;0;3;0;6;LOC284632;NC_000001.11;24200240;24211690;+;11451;lncRNA;"long intergenic non-protein coding RNA 2800 [Source:HGNC Symbol;Acc:HGNC:27642]"
ENSG00000231811;0;0;0;0;0;0;0;0;0;3;3;3;0;0;LOC101927888;NC_000006.12;4341751;4347164;-;5414;lncRNA;"novel transcript"
ENSG00000231824;0;0;3;0;0;0;0;0;0;0;3;0;3;0;AKAIN1;NC_000018.10;5142911;5197752;-;54842;protein_coding;"A-kinase anchor inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28285]"
ENSG00000232732;0;0;0;0;0;0;0;0;0;0;4;2;3;0;LOC101927687;NC_000002.12;199867342;199911242;-;43901;lncRNA;"novel transcript"
ENSG00000233723;9;0;0;0;0;0;0;0;0;0;0;0;0;0;LINC01122;NC_000002.12;58520753;59063766;+;543014;lncRNA;"long intergenic non-protein coding RNA 1122 [Source:HGNC Symbol;Acc:HGNC:49267]"
ENSG00000233806;8;0;0;0;0;0;0;0;0;0;0;0;0;1;LINC01237;NC_000002.12;NT_187527.1;NT_187523.1;NT_187647.1;241881363;93461;4619;4619;242078722;94735;122792;122432;+;+;+;+;434623;lncRNA;"long intergenic non-protein coding RNA 1237 [Source:HGNC Symbol;Acc:HGNC:49793]"
ENSG00000234148;0;0;0;0;0;0;0;3;0;6;0;0;0;0;LINC01961;NC_000002.12;113501546;113515481;+;13936;lncRNA;"long intergenic non-protein coding RNA 1961 [Source:HGNC Symbol;Acc:HGNC:52786]"
ENSG00000235268;0;0;0;0;3;0;0;3;3;0;0;0;0;0;KDM4E;NC_000011.10;95025258;95027596;+;2339;protein_coding;"lysine demethylase 4E [Source:HGNC Symbol;Acc:HGNC:37098]"
ENSG00000237707;6;0;0;3;0;0;0;0;0;0;0;0;0;0;LOC101928596;NC_000001.11;169104124;169104907;+;784;lncRNA;"novel transcript"
ENSG00000241128;0;0;0;0;9;0;0;0;0;0;0;0;0;0;OR14A2;NC_000001.11;247721640;247761429;-;39790;protein_coding;"olfactory receptor family 14 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:15024]"
ENSG00000241794;0;0;0;5;0;0;0;0;4;0;0;0;0;0;SPRR2A;NC_000001.11;153056120;153057512;-;1393;protein_coding;"small proline rich protein 2A [Source:HGNC Symbol;Acc:HGNC:11261]"
ENSG00000253955;3;0;0;0;0;0;0;6;0;0;0;0;0;0;LOC285593;NC_000005.10;173579634;173585068;+;5435;lncRNA;"long intergenic non-protein coding RNA 2995 [Source:HGNC Symbol;Acc:HGNC:27744]"
ENSG00000255980;0;0;0;0;0;0;0;6;3;0;0;0;0;0;LOC102724265;NC_000011.10;69425671;69429621;+;3951;protein_coding;"long intergenic non-protein coding RNA 2953 [Source:HGNC Symbol;Acc:HGNC:55970]"
ENSG00000258912;0;0;3;0;0;0;0;0;0;6;0;0;0;0;LINC02316;NC_000014.9;86001932;86063803;-;61872;lncRNA;"long intergenic non-protein coding RNA 2316 [Source:HGNC Symbol;Acc:HGNC:53235]"
ENSG00000259062;0;9;0;0;0;0;0;0;0;0;0;0;0;0;ACTN1-AS1;NC_000014.9;68979682;68987463;+;7782;lncRNA;"ACTN1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:20131]"
ENSG00000269067;6;0;2;0;0;0;0;0;0;0;1;0;0;0;ZNF728;NC_000019.10;22974883;23003208;-;28326;protein_coding;"zinc finger protein 728 [Source:HGNC Symbol;Acc:HGNC:32463]"
ENSG00000273415;0;0;3;0;6;0;0;0;0;0;0;0;0;0;LOC105369563;NC_000011.10;128093913;128183671;+;89759;lncRNA;"long intergenic non-protein coding RNA 2725 [Source:HGNC Symbol;Acc:HGNC:54242]"
ENSG00000273507;0;0;0;0;0;0;0;3;3;3;0;0;0;0;LOC105370169;NC_000013.11;39084557;39091690;+;7134;lncRNA;"novel transcript"
ENSG00000276410;0;0;5;2;0;0;0;0;0;0;2;0;0;0;HIST1H2BB;NC_000006.12;26043227;26043657;-;431;protein_coding;"H2B clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4751]"
ENSG00000276717;0;0;0;0;0;0;0;0;0;0;9;0;0;0;PRSS47;NC_000009.12;92184332;92191156;-;6825;protein_coding;"serine protease 47
ENSG00000277215;0;0;9;0;0;0;0;0;0;0;0;0;0;0;SPANXA2-OT1;NC_000023.11;141502849;141649939;+;147091;lncRNA;"SPANXA2 overlapping transcript 1 [Source:HGNC Symbol;Acc:HGNC:31683]"
ENSG00000279000;0;9;0;0;0;0;0;0;0;0;0;0;0;0;OR10A6;NC_000011.10;NW_011332695.1;NT_187583.1;7927718;158712;159219;7928662;159656;160163;-;-;-;2835;protein_coding;"olfactory receptor family 10 subfamily A member 6 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15132]"
ENSG00000283703;9;0;0;0;0;0;0;0;0;0;0;0;0;0;VSIG10L2;NC_000011.10;125949191;125956319;+;7129;protein_coding;"V-set and immunoglobulin domain containing 10 like 2 [Source:HGNC Symbol;Acc:HGNC:27879]"
ENSG00000283982;3;6;0;0;0;0;0;0;0;0;0;0;0;0;LOC101929563;NC_000009.12;23500691;23672399;-;171709;lncRNA;"novel transcript"
ENSG00000284193;0;0;0;0;1;0;0;4;4;0;0;0;0;0;MIR1257;NC_000020.11;NT_187623.1;61953546;64117;61953662;64233;-;-;234;miRNA;"microRNA 1257 [Source:HGNC Symbol;Acc:HGNC:35322]"
ENSG00000284332;0;0;0;0;0;0;0;1;1;3;0;2;2;0;MIR1302-2;NC_000001.11;30366;30503;+;138;miRNA;"microRNA 1302-2 [Source:HGNC Symbol;Acc:HGNC:35294]"
ENSG00000284988;0;0;0;0;9;0;0;0;0;0;0;0;0;0;LINC02203;NC_000015.10;NT_187602.1;21552773;310612;21640521;405685;+;+;182823;lncRNA;"long intergenic non-protein coding RNA 2203 [Source:HGNC Symbol;Acc:HGNC:53069]"
ENSG00000285413;0;0;0;0;2;0;0;0;0;2;0;0;5;0;LOC105377139;NC_000021.9;44172147;44193134;-;20988;lncRNA;"novel transcript"
ENSG00000287597;0;0;0;0;6;0;0;0;0;0;0;0;0;3;LOC105374736;NC_000005.10;40306824;40327651;-;20828;lncRNA;"novel transcript"
ENSG00000289993;0;0;0;0;0;6;0;0;0;3;0;0;0;0;LOC101927234;NC_000009.12;72522297;72528106;-;5810;lncRNA;"novel transcript
ENSG00000290942;0;0;0;0;0;0;0;0;0;0;0;3;6;0;BPIFA4P;NC_000020.11;33193605;33210462;+;16858;transcribed_pseudogene;"BPI fold containing family A member 4
ENSG00000291135;0;1;0;0;0;0;0;0;0;3;0;2;3;0;FCGR1B;NC_000001.11;121087345;121097161;+;9817;protein_coding;"Fc gamma receptor Ib
ENSG00000293529;0;0;0;0;0;6;0;0;0;0;3;0;0;0;FRMPD2B;NC_000010.11;46876674;46895326;+;18653;transcribed_pseudogene;"FERM and PDZ domain containing 2B (pseudogene) [Source:HGNC Symbol;Acc:HGNC:16843]"
ENSG00000293538;0;0;9;0;0;0;0;0;0;0;0;0;0;0;DMBT1P1;NC_000010.11;122756694;122797645;+;40952;transcribed_pseudogene;"deleted in malignant brain tumors 1 like 1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:49497]"
ENSG00000297977;0;9;0;0;0;0;0;0;0;0;0;0;0;0;LOC105378414;NC_000010.11;88042266;88058177;+;15912;lncRNA;"novel transcript"
ENSG00000070388;0;0;0;0;0;0;0;0;0;0;0;0;4;4;FGF22;NC_000019.10;639895;643703;+;3809;protein_coding;"fibroblast growth factor 22 [Source:HGNC Symbol;Acc:HGNC:3679]"
ENSG00000087128;0;8;0;0;0;0;0;0;0;0;0;0;0;0;TMPRSS11E;NC_000004.12;NT_167250.2;68447449;141140;68497604;191291;+;+;100308;protein_coding;"transmembrane serine protease 11E [Source:HGNC Symbol;Acc:HGNC:24465]"
